GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village
sxkbjq,40.816956,29.415894,TR-41,,,,,Yenikent Mahallesi,,,Türkiye,tr,,,,,,,,,,,,,,,,,,41400,Kocaeli,,,Marmara Bölgesi,,,,Yenikent,,Gebze,
sxkcet,41.075134,29.33899,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34799,İstanbul,,,Marmara Bölgesi,,,,Ömerli Mahallesi,,Çekmeköy,Koçullu Mahallesi
sxhzuy,40.77301,29.39392,TR-41,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,41700,Kocaeli,,,Marmara Bölgesi,,,,Kazımkarabekir Mahallesi,,Darıca,
sxk1ze,41.108093,28.460083,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Çatalca,Çakıl Mahallesi
sxk471,41.184998,28.26233,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Kurfallı Mahallesi
sxkc3j,41.03119,29.229126,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34788,İstanbul,,,Marmara Bölgesi,,Bulvar Sokağı,,Taşdelen Mahallesi,,Çekmeköy,
sxkbsu,40.89386,29.39392,TR-34,,,,,Aydınlı Mahallesi,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34956,İstanbul,,,Marmara Bölgesi,,Atayolu Caddesi / Bülent Ecevit Cd.,,Orta Mahallesi,,Tuzla,
sxk7j6,41.322327,28.712769,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Özgürlük Caddesi,,,,Arnavutköy,Yeniköy Mahallesi
sxk3b3,41.097107,28.493042,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,Muratbey Merkez,,34537,İstanbul,,,Marmara Bölgesi,,Hayrabolu Caddesi,,,,Çatalca,Muratbey Merkez Mahallesi
sxk1dj,41.075134,28.218384,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34570,İstanbul,,,Marmara Bölgesi,,,,Mimar Sinan Mahallesi,,Silivri,
sx7cyg,41.108093,28.075562,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34580,İstanbul,,,Marmara Bölgesi,,,,Çanta Balaban Mahallesi,,Silivri,
sxk1wn,41.080627,28.394165,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34590,İstanbul,,,Marmara Bölgesi,,,,Selimpaşa Mahallesi,,Çatalca,Ovayenice Mahallesi
sxk3v9,41.097107,28.723755,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34494,İstanbul,,,Marmara Bölgesi,,,,Şahintepe Mahallesi,,Başakşehir,
sxk561,41.36078,28.218384,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Yaylacık Yolu,,,,Çatalca,Yaylacık Mahallesi
sxk37b,41.003723,28.64685,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34520,İstanbul,,,Marmara Bölgesi,Büyükşehir Konutlari,Gonca Sokak,,Büyükşehir Mahallesi,,Beylikdüzü,
sxk3db,41.04767,28.602905,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34500,İstanbul,,,Marmara Bölgesi,,Behçet Kemal Çağlar Caddesi,,Çakmaklı Mahallesi,,Büyükçekmece,
sxk1vq,41.124573,28.361206,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34592,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Ortaköy Mahallesi
sxk378,41.003723,28.635864,TR-34,,Balıkçı Kenan,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34528,İstanbul,,,Marmara Bölgesi,,Anadolu Caddesi,,Adnan Kahveci Mahallesi,,Beylikdüzü,
sxkcuu,41.113586,29.39392,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Şile,Avcıkoru Mahallesi
sxk32f,41.01471,28.515015,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34530,İstanbul,,,Marmara Bölgesi,,,,Güzelce Mahallesi,,Büyükçekmece,
sxk8uu,40.937805,29.042358,TR-34,,,,İstanbul,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34126,İstanbul,,,Marmara Bölgesi,,,,,,Fatih,
sxk9wg,41.064148,29.130249,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34766,İstanbul,,,Marmara Bölgesi,,,,Baklacı Mahallesi,,Beykoz,
