GEOHASH,NUMBER_OF_VEHICLES,LATITUDE,LONGITUDE
sxk1w5,1276091,41.06414794921875,28.3941650390625
sxk1w6,644562,41.05865478515625,28.4051513671875
sxk1w7,2584226,41.06414794921875,28.4051513671875
sxk1wc,1953073,41.05316162109375,28.4271240234375
sxk1wd,2719035,41.05865478515625,28.4161376953125
sxk1wf,1188757,41.05865478515625,28.4271240234375
sxk1wh,1595472,41.06964111328125,28.3941650390625
sxk1x1,2455544,41.05316162109375,28.4381103515625
sxk1x3,2686252,41.05316162109375,28.4490966796875
sxk1x9,1312392,41.05316162109375,28.4600830078125
sxk1xd,2102508,41.05865478515625,28.4600830078125
sxk1xf,2175950,41.05865478515625,28.4710693359375
sxk1zz,758338,41.13006591796875,28.4710693359375
sxk323,492783,41.00921630859375,28.4930419921875
sxk324,769912,41.01470947265625,28.4820556640625
sxk325,1618281,41.02020263671875,28.4820556640625
sxk326,1626877,41.01470947265625,28.4930419921875
sxk329,1691644,41.00921630859375,28.5040283203125
sxk32c,1862038,41.00921630859375,28.5150146484375
sxk331,1958008,41.00921630859375,28.5260009765625
sxk333,1452417,41.00921630859375,28.5369873046875
sxk336,1988400,41.01470947265625,28.5369873046875
sxk33d,2682530,41.01470947265625,28.5479736328125
sxk33f,2893738,41.01470947265625,28.5589599609375
sxk33g,3468378,41.02020263671875,28.5589599609375
sxk33t,294799,41.03118896484375,28.5479736328125
sxk33u,1657835,41.02569580078125,28.5589599609375
sxk33v,1050082,41.03118896484375,28.5589599609375
sxk33w,1172640,41.03668212890625,28.5479736328125
sxk33x,1049557,41.04217529296875,28.5479736328125
sxk35q,265205,40.99273681640625,28.6248779296875
sxk35r,1164282,40.99822998046875,28.6248779296875
sxk365,4076044,41.02020263671875,28.5699462890625
sxk367,4071749,41.02020263671875,28.5809326171875
sxk36k,1308623,41.02569580078125,28.5809326171875
sxk36s,3923097,41.02569580078125,28.5919189453125
sxk36u,3808797,41.02569580078125,28.6029052734375
sxk372,1376967,41.00372314453125,28.6248779296875
sxk373,1819433,41.00921630859375,28.6248779296875
sxk376,2443890,41.01470947265625,28.6248779296875
sxk377,7105798,41.02020263671875,28.6248779296875
sxk37c,790326,41.00921630859375,28.6468505859375
sxk37d,4058614,41.01470947265625,28.6358642578125
sxk37e,4748114,41.02020263671875,28.6358642578125
sxk37f,6325654,41.01470947265625,28.6468505859375
sxk37h,3803271,41.02569580078125,28.6138916015625
sxk37k,5515415,41.02569580078125,28.6248779296875
sxk37m,2572027,41.03118896484375,28.6248779296875
sxk37q,2745446,41.03668212890625,28.6248779296875
sxk37r,2962885,41.04217529296875,28.6248779296875
sxk384,1798855,41.05865478515625,28.4820556640625
sxk386,2147997,41.05865478515625,28.4930419921875
sxk387,630555,41.06414794921875,28.4930419921875
sxk38e,2164759,41.06414794921875,28.5040283203125
sxk38s,1592972,41.06964111328125,28.5040283203125
sxk38t,1945257,41.07513427734375,28.5040283203125
sxk38w,1351933,41.08062744140625,28.5040283203125
sxk38x,2179484,41.08612060546875,28.5040283203125
sxk38y,914960,41.08062744140625,28.5150146484375
sxk38z,1695454,41.08612060546875,28.5150146484375
sxk393,1128564,41.05316162109375,28.5369873046875
sxk395,617682,41.06414794921875,28.5260009765625
sxk396,1143128,41.05865478515625,28.5369873046875
sxk397,740525,41.06414794921875,28.5369873046875
sxk398,905090,41.04766845703125,28.5479736328125
sxk39h,1038523,41.06964111328125,28.5260009765625
sxk39j,1026183,41.07513427734375,28.5260009765625
sxk3b8,1066955,41.09161376953125,28.5040283203125
sxk3bb,3471572,41.09161376953125,28.5150146484375
sxk3bc,3890959,41.09710693359375,28.5150146484375
sxk3bd,1225781,41.10260009765625,28.5040283203125
sxk3be,1321014,41.10809326171875,28.5040283203125
sxk3bf,643708,41.10260009765625,28.5150146484375
sxk3bm,573405,41.11907958984375,28.4930419921875
sxk3bn,616171,41.12457275390625,28.4820556640625
sxk3bq,741117,41.12457275390625,28.4930419921875
sxk3br,550648,41.13006591796875,28.4930419921875
sxk3bs,1137756,41.11358642578125,28.5040283203125
sxk3bt,506554,41.11907958984375,28.5040283203125
sxk3bw,410031,41.12457275390625,28.5040283203125
sxk3c4,2554453,41.10260009765625,28.5260009765625
sxk3c6,667097,41.10260009765625,28.5369873046875
sxk3c7,2526767,41.10809326171875,28.5369873046875
sxk3ce,2412474,41.10809326171875,28.5479736328125
sxk3cg,2248359,41.10809326171875,28.5589599609375
sxk3e2,2405176,41.04766845703125,28.6248779296875
sxk3e3,2422378,41.05316162109375,28.6248779296875
sxk3e6,3116813,41.05865478515625,28.6248779296875
sxk3e7,2548394,41.06414794921875,28.6248779296875
sxk3eg,2548372,41.06414794921875,28.6468505859375
