GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village,data_amount
sxk974,41.01471,28.965454,TR-34,,İ.Ü Siyasal Bilimler Fakültesi,,İstanbul,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34116.0,İstanbul,,,Marmara Bölgesi,,Prof. Sıddık Sami Onar Caddesi,,Süleymaniye Mahallesi,,Fatih,,27407
sxk3qt,41.03119,28.7677,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34303.0,İstanbul,Halkalı,,Marmara Bölgesi,,,,İstasyon Mahallesi,,Küçükçekmece,,28479
sxk3qd,41.01471,28.7677,TR-34,,Petrol Ofisi,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34303.0,İstanbul,Halkalı,,Marmara Bölgesi,,1437. Sokak,,İstasyon Mahallesi,,Küçükçekmece,,28446
sxk9rf,41.01471,29.174194,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34773.0,İstanbul,,,Marmara Bölgesi,,Güney Sokağı,,Necip Fazıl Mahallesi,,Ümraniye,,28470
sxk61w,41.168518,28.547974,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Çatalca,Nakkaş Mahallesi,28450
sxkd9d,41.234436,28.899536,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,Mithatpaşa Mahallesi,,Eyüpsultan,Çiftalan Mahallesi,28493
sxkcv7,41.108093,29.415894,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Şile Yolu,,,,Şile,Avcıkoru Mahallesi,27421
sxkbg3,40.921326,29.328003,TR-34,,Türk-Japon Üniversitesi Ormanı,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34906.0,İstanbul,,,Marmara Bölgesi,,E-80 Bağlantı Yolu,,Sanayi Mahallesi,,Pendik,,28363
sxk915,40.976257,28.877563,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34142.0,İstanbul,,,Marmara Bölgesi,,Asmalı Sakız Sokağı,Şok,Cevizlik Mahallesi,,Bakırköy,,28467
sxk3r8,41.003723,28.811646,TR-34,,15 Temmuz Şehitleri Anadolu İmam Hatip Lisesi,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34197.0,İstanbul,,,Marmara Bölgesi,,1. Asena Sokağı,,Yenibosna Merkez Mahallesi,,Bahçelievler,,28507
sxk9gu,41.113586,28.998413,TR-34,,Ayazağa İlkokulu,,,,,,Türkiye,tr,,,,,,,,4,,,,,,,,,,34396.0,İstanbul,,,Marmara Bölgesi,Ayazağa,Mustafa Kemal Atatürk Caddesi,,Ayazağa Mahallesi,,Sarıyer,,28434
sxk9te,41.064148,29.075317,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34688.0,İstanbul,,,Marmara Bölgesi,,Metin Sokağı,,Küçüksu Mahallesi,,Üsküdar,,27972
sxk6sk,41.245422,28.668823,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34277.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,Tayakadın Mahallesi,,Arnavutköy,Baklalı Mahallesi,28461
sxk8z7,40.932312,29.152222,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34852.0,İstanbul,,,Marmara Bölgesi,,Cumhur Sokağı,,Zümrütevler Mahallesi,,Maltepe,,28477
sxk901,40.96527,28.833618,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34149.0,İstanbul,,,Marmara Bölgesi,,Yeni Havaalanı Caddesi,,Yeşilköy Mahallesi,,Bakırköy,,28466
sxkf27,41.195984,29.196167,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34829.0,İstanbul,,,Marmara Bölgesi,,,,Riva Mahallesi,,Beykoz,Anadolufeneri Mahallesi,21515
sxk9gf,41.1026,28.998413,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34485.0,İstanbul,,,Marmara Bölgesi,,,,Huzur Mahallesi,,Sarıyer,,28511
sxk934,41.01471,28.877563,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34160.0,İstanbul,,,Marmara Bölgesi,,Karadeniz Caddesi,Zenginli Otomotiv - 2.El oto,Güven Mahallesi,,Güngören,,28486
