GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village,data_amount,label,centroid_lat,centroid_lon
sxkdh9,41.141052,29.031372,TR-34,,Hacıosmanoğlu Camii,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34457.0,İstanbul,,,Marmara Bölgesi,,Gül Sokağı,,Tarabya Mahallesi,,Sarıyer,,28482,4,41.07751961042184,28.96092865508685
sxk8xs,40.89386,29.163208,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34865.0,İstanbul,Dragos,,Marmara Bölgesi,,,,Orhantepe Mahallesi,,Kartal,,28257,1,41.01326673253012,29.157119156626507
sxk9r0,41.003723,29.141235,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34779.0,İstanbul,,,Marmara Bölgesi,,Kadir Sokağı,,Mehmet Akif Mahallesi,,Ümraniye,,28447,1,41.01326673253012,29.157119156626507
sxk9wd,41.058655,29.119263,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34766.0,İstanbul,,,Marmara Bölgesi,,,,Baklacı Mahallesi,,Beykoz,,28500,1,41.01326673253012,29.157119156626507
sxk3x9,41.05316,28.811646,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34218.0,İstanbul,,,Marmara Bölgesi,,Taşocağı Yolu,,Mahmutbey Mahallesi,,Bağcılar,,28507,5,41.07883557857143,28.785801545238094
sxkc2d,41.01471,29.207153,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34788.0,İstanbul,,,Marmara Bölgesi,,Eski Ankara Caddesi,,Kirazlıdere Mahallesi,,Çekmeköy,,28500,1,41.01326673253012,29.157119156626507
sxk3x3,41.05316,28.80066,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34307.0,İstanbul,,,Marmara Bölgesi,,1901. Sokak,,Atatürk Mahallesi,,Küçükçekmece,,28473,5,41.07883557857143,28.785801545238094
sxkbbz,40.954285,29.21814,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34885.0,İstanbul,,,Marmara Bölgesi,,Yörük Caddesi,,Fatih Mahallesi,,Sancaktepe,,28496,1,41.01326673253012,29.157119156626507
sxk1rg,41.020203,28.47107,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34530.0,İstanbul,,,Marmara Bölgesi,,İnci Kum Sokak,,Yenimahalle Mahallesi,,Büyükçekmece,,28452,0,41.098710162679424,28.528366459330144
sxkc56,40.970764,29.328003,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34916.0,İstanbul,,,Marmara Bölgesi,,Kurnaköy-Ömerli Yolu,,,,Pendik,Emirli Mahallesi,28480,2,40.89860279512195,29.325698585365853
sxkd40,41.13556,28.921509,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34075.0,İstanbul,,,Marmara Bölgesi,,,,Mithatpaşa Mahallesi,,Eyüpsultan,,28497,4,41.07751961042184,28.96092865508685
sxk3g2,41.091614,28.624878,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34500.0,İstanbul,,,Marmara Bölgesi,,Yiğittürk Caddesi,,Karaağaç Mahallesi,,Büyükçekmece,,28391,0,41.098710162679424,28.528366459330144
sxkf1g,41.15204,29.262085,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34869.0,İstanbul,,,Marmara Bölgesi,,,,,,Beykoz,Öğümce Mahallesi,28427,1,41.01326673253012,29.157119156626507
sxk3ks,41.025696,28.67981,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34513.0,İstanbul,,,Marmara Bölgesi,,903. Sokak,,Üçevler Mahallesi,,Esenyurt,,28506,5,41.07883557857143,28.785801545238094
sxkb8w,40.904846,29.207153,TR-34,,Kartal Köprüsü Otobüs Peronları,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34880.0,İstanbul,,,Marmara Bölgesi,,D100,,Orta Mahallesi,,Kartal,,28509,2,40.89860279512195,29.325698585365853
sxk917,40.976257,28.88855,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34142.0,İstanbul,,,Marmara Bölgesi,,Kennedy Caddesi,,Sakızağacı Mahallesi,مكان الريوك,Bakırköy,,28399,4,41.07751961042184,28.96092865508685
sxkbk3,40.833435,29.371948,TR-41,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34950.0,Kocaeli,,,Marmara Bölgesi,,Cumhuriyet Caddesi,,Atatürk Mahallesi,,Çayırova,,28489,2,40.89860279512195,29.325698585365853
sxk9jb,40.959778,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,8,,,,,,,,,,34740.0,İstanbul,Ayşekadın,,Marmara Bölgesi,,Müzeyyen Sokağı,,Suadiye Mahallesi,,Kadıköy,,28202,1,41.01326673253012,29.157119156626507
sxk8wz,40.91034,29.130249,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34844.0,İstanbul,,,Marmara Bölgesi,,,,Yalı Mahallesi,,Maltepe,,28154,1,41.01326673253012,29.157119156626507
sxkdhz,41.17401,29.042358,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450.0,İstanbul,,,Marmara Bölgesi,,,,Maden Mahallesi,,Sarıyer,,28178,4,41.07751961042184,28.96092865508685
sxk3f6,41.1026,28.580933,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34500.0,İstanbul,,,Marmara Bölgesi,4 Mevsim İstanbul,Eskice Karaağaç Caddesi,,Karaağaç Mahallesi,,Büyükçekmece,,28248,0,41.098710162679424,28.528366459330144
sxk1wc,41.05316,28.427124,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34534.0,İstanbul,,,Marmara Bölgesi,,,,Celaliye Mahallesi,,Büyükçekmece,,28474,0,41.098710162679424,28.528366459330144
sxk3bs,41.113586,28.504028,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Çatalca Çevreyolu,,Ferhatpaşa Mahallesi,,Çatalca,Muratbey Merkez Mahallesi,28444,0,41.098710162679424,28.528366459330144
sxk98v,41.075134,28.866577,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34235.0,İstanbul,,,Marmara Bölgesi,,Metris Kavşağı,,Oruçreis Mahallesi,,Esenler,,28499,5,41.07883557857143,28.785801545238094
sxk988,41.04767,28.85559,TR-34,,Alaattin Nilüfer Kadayıfçıoğlu Mesleki veTeknik Anadolu Lisesi,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34200.0,İstanbul,,,Marmara Bölgesi,,2083. Sokak,,Fevzi Çakmak Mahallesi,,Bağcılar,,28485,5,41.07883557857143,28.785801545238094
sxk923,41.009216,28.844604,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34188.0,İstanbul,Üçevler,,Marmara Bölgesi,,Konak Sokağı,,Kocasinan Merkez Mahallesi,,Bahçelievler,,28485,5,41.07883557857143,28.785801545238094
sxkb8p,40.91034,29.18518,TR-34,,Emrullah Turanlı Çocuk Yuvası,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34870.0,İstanbul,,,Marmara Bölgesi,,Canakkale Caddesi,,Esentepe Mahallesi,,Kartal,,28472,1,41.01326673253012,29.157119156626507
sxk98d,41.058655,28.85559,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34235.0,İstanbul,,,Marmara Bölgesi,,,,Turgut Reis Mahallesi,,Esenler,,28489,5,41.07883557857143,28.785801545238094
sxkc92,41.04767,29.240112,TR-34,,Alemdağ Eczanesi,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34794.0,İstanbul,,,Marmara Bölgesi,,Reşadiye Caddesi,,Alemdağ Mahallesi,,Çekmeköy,,28421,1,41.01326673253012,29.157119156626507
