Name,LATITUDE,LONGITUDE,road,town,county,province,region,postcode,suburb
3.LEVENT SEVGİ TAKSİ DURAĞI,41.0874120010001,29.0189222,Çilekli Caddesi,Beşiktaş,,İstanbul,Marmara Bölgesi,34330,Levent Mahallesi
AK TAKSİ,41.0554436680001,28.6683340290001,1655. Sokak,Esenyurt,,İstanbul,Marmara Bölgesi,34538,Koza Mahallesi
AVCıLAR(6) ISPARTAKULE TAKSI,41.0625592010001,28.7145732,Abdi İpekçi Caddesi,Avcılar,,İstanbul,Marmara Bölgesi,34325,Tahtakale Mahallesi
KÜÇÜKEV TAKSİ,41.121,29.036500001,Balaban Dere Caddesi,Sarıyer,,İstanbul,Marmara Bölgesi,34457,Darüşşafaka Mahallesi
EMİNÖNÜ SAHİL TAKSİ DURAĞI,41.014837001,28.9760401990001,Muradiye Caddesi,Fatih,,İstanbul,Marmara Bölgesi,34110,Hocapaşa Mahallesi
YEŞİLKENT TAKSİ DURAĞI,41.006200001,28.6262,Yavuz Sultan Selim Bulvarı,Beylikdüzü,,İstanbul,Marmara Bölgesi,34528,Adnan Kahveci Mahallesi
ALO TAKSİ DURAĞI,40.9578000010001,29.0768,Pembe Gül Sokağı,Kadıköy,,İstanbul,Marmara Bölgesi,34740,Suadiye Mahallesi
MARMARA ÜNV.EĞT.VE ARAŞ.HAST YENİ2,40.887599999,29.2631,Erzincan Caddesi,Pendik,,İstanbul,Marmara Bölgesi,34899,Fevzi Çakmak Mahallesi
DURAK TAKSİ,41.081965301,28.9197843,Mustafa Kemal Bulvarı,Eyüpsultan,,İstanbul,Marmara Bölgesi,34065,Yeşilpınar Mahallesi
HİLTON TAKSİ,40.985660529,29.0816627250001,Mümin Deresi Sokağı,Kadıköy,,İstanbul,Marmara Bölgesi,34734,Sahrayıcedit Mahallesi
ATAŞEHİR ŞİRİN TAKSİ DURAĞI,40.9978333010001,29.1090926,Ihlamur Bulvarı,Ataşehir,,İstanbul,Marmara Bölgesi,34746,Barbaros Mahallesi
ULUS VADİ TAKSİ,41.060799999,29.0247,Okul Yolu,Beşiktaş,,İstanbul,Marmara Bölgesi,34347,Ortaköy Mahallesi
ÜSKÜDAR HAREM İDO İSKELE ÖNÜ,41.0105055010001,29.0108704,Üsküdar Harem Sahil Yolu,Üsküdar,,İstanbul,Marmara Bölgesi,34668,Selimiye Mahallesi
ADAKENT TAKSİ DURAĞI,41.009902401,28.6567215,E-5 Yanyol,Esenyurt,,İstanbul,Marmara Bölgesi,34515,Mevlana Mahallesi
NİŞANTAŞI ÜNİVERSİTESİ SADABAD KAMPÜSÜ,41.06998586,28.962044086,Eyüp Sultan Caddesi,Kâğıthane,,İstanbul,Marmara Bölgesi,34406,Merkez Mahallesi
DİVAN TAKSİ,41.0248733760001,28.7734122310001,Namık Kemal Caddesi,Küçükçekmece,,İstanbul,Marmara Bölgesi,34303,İstasyon Mahallesi
İSPARK UZUNÇAYIR,40.9989019010001,29.055661399,D100,Kadıköy,,İstanbul,Marmara Bölgesi,,Dumlupınar Mahallesi
GAR TAKSİ DURAĞI YENİ-2,40.879899999,29.232,Hat Boyu Caddesi,Pendik,,İstanbul,Marmara Bölgesi,34890,Doğu Mahallesi
ALKENT TAKSİ,41.0863630010001,29.0331104,Tepecik Yolu,Beşiktaş,,İstanbul,Marmara Bölgesi,34335,Etiler Mahallesi
İSPARK - FATİH TCDD SİRKECİ GAR ÖNÜ,41.014837501,28.9761299,Vezir Camii Çıkmazı Sokağı,Fatih,,İstanbul,Marmara Bölgesi,34110,Hocapaşa Mahallesi
FENER YOLU TAKSI DURAĞı,40.977503901,29.0519991,Kortanpaşa Sokağı,Kadıköy,,İstanbul,Marmara Bölgesi,34730,Göztepe Mahallesi
MERKEZ EVLERİ,41.0101,28.9094,,Zeytinburnu,,İstanbul,Marmara Bölgesi,34015,Merkezefendi Mahallesi
Karaköy Yolcu Salonu Turizm Taksi,41.0233069400001,28.9776413010001,Maliye Caddesi,Beyoğlu,,İstanbul,Marmara Bölgesi,34420,Kemankeş Karamustafa Paşa
EMNİYET TAKSİ,40.8458760560001,29.2994475730001,Genç Osman Caddesi,Tuzla,,İstanbul,Marmara Bölgesi,34944,Evliya Çelebi Mahallesi
OPTİMUM AVM ÖNÜ,40.9882643060001,29.0852736890001,Karaman Çiftliği Yolu,Ataşehir,,İstanbul,Marmara Bölgesi,34746,Yenisahra Mahallesi
Teşvikiye Merkez Taksi,41.047333199,28.9971135850001,Hüsrev Gerede Caddesi,Beşiktaş,,İstanbul,Marmara Bölgesi,34365,Teşvikiye Mahallesi
Kayışdağı Caddesi Umuma Açık,40.9754,29.1525,Çakmakçı Sokağı,Ataşehir,,İstanbul,Marmara Bölgesi,34755,Kayışdağı Mahallesi
CİHANGİR TAKSİ DURAĞI,41.0306,28.9842,Şimşirci Sokağı,Beyoğlu,,İstanbul,Marmara Bölgesi,34433,Kılıçali Paşa
BİZİM TAKSİ,41.112942301,28.8025082,,Başakşehir,,İstanbul,Marmara Bölgesi,34480,Başak Mahallesi
MARMARA LİMAN TAKSİ,40.9817055010001,28.67164,İhlas Caddesi,Beylikdüzü,,İstanbul,Marmara Bölgesi,34524,Marmara Mahallesi
ALP TAKSİ,40.9683184290001,29.092007311,Şakacı Sokağı,Kadıköy,,İstanbul,Marmara Bölgesi,34742,Kozyatağı Mahallesi
İSPARK - ÜSKÜDAR İSKELE ÖNÜ,41.027471801,29.0156768,Paşalimanı Caddesi,Üsküdar,,İstanbul,Marmara Bölgesi,34672,Mimar Sinan Mahallesi
SOĞANLIK MERKEZ TAKSİ,40.917440346,29.2054436440001,Çınarcık Caddesi,Kartal,,İstanbul,Marmara Bölgesi,34880,Gümüşpınar Mahallesi
SARIYER KİREÇBURNU TAKSİ DURAĞI,41.1484765010001,29.045952,Mısır Caddesi,Sarıyer,,İstanbul,Marmara Bölgesi,34457,Kireçburnu Mahallesi
ARNAVUTKÖY MERKEZ TAKSİ,41.186094289,28.7257090630001,,Arnavutköy,,İstanbul,Marmara Bölgesi,34283,Mustafa Kemal Paşa Mahallesi
SÖĞÜTLÜ ÇEŞME UATD,40.9923876010001,29.0378340010001,Fahrettin Kerim Gökay Caddesi,Kadıköy,,İstanbul,Marmara Bölgesi,,Hasanpaşa Mahallesi
İNTERNATIONAL HOSPITAL TAKSI,40.959642101,28.8352439,Karanfil Sokağı,Bakırköy,,İstanbul,Marmara Bölgesi,34149,Yeşilköy Mahallesi
İSPARK İSKELE,41.0413988010001,29.0076888,Çiğdem Sokağı,Beşiktaş,,İstanbul,Marmara Bölgesi,34353,
OSMANİYE TAKSİ DURAĞI,40.9922000010001,28.8816,Bildik Sokağı,Bakırköy,,İstanbul,Marmara Bölgesi,34146,Osmaniye Mahallesi
İSPARK ZEYNEP KAMİL,41.015070801,29.0249279010001,Doktor Burhanettin Üstünel Caddesi,Üsküdar,,İstanbul,Marmara Bölgesi,34668,Zeynep Kamil Mahallesi
ALBATROS TAKSİ DURAĞI,41.0109727010001,28.6004614,,Büyükçekmece,,İstanbul,Marmara Bölgesi,34500,Atatürk Mahallesi
