Name,LineId,LineName,Description,Order,IsActive,FunctionalCode,Latitude,Longitude,RailType
KARADENIZ MAHALLESI,7,M7,Karadeniz Mahallesi,15,True,M-M07-S-H-I-15,41.0815994,28.8754204,Metro
TEKSTILKENT,7,M7,Tekstilkent-Giyimkent,16,True,M-M07-S-H-I-16,41.0712997,28.8668802,Metro
ORUCREIS,7,M7,Oruç Reis,17,True,M-M07-S-H-I-17,41.0633806,28.8554406,Metro
GOZTEPE,7,M7,Göztepe Mahallesi,18,True,M-M07-S-H-I-18,41.0563991,28.8499689,Metro
MAHMUTBEY,7,M7,Mahmutbey,19,True,M-M07-S-H-I-19,41.054312,28.830612,Metro
BOSTANCI,8,M8,Bostancı,1,True,M-M08-S-H-I-01,40.95128998347687,29.097243057130374,Metro
EMIN ALI PASA,8,M8,Emin Ali Paşa,2,True,M-M08-S-H-I-02,40.96054884646437,29.09385026231631,Metro
AYSE KADIN,8,M8,Ayşekadın,3,True,M-M08-S-H-I-03,40.966729619003274,29.0868577820603,Metro
KOZYATAGI,8,M8,Kozyatağı,4,True,M-M08-S-H-I-04,40.97524724462983,29.098809408749805,Metro
KUCUKBAKKALKOY,8,M8,Küçükbakkalköy,5,True,M-M08-S-H-I-05,40.97913311692388,29.111999801732374,Metro
ICERENKOY,8,M8,İçerenköy,6,True,M-M08-S-H-I-06,40.979123476347006,29.126665087038585,Metro
KAYISDAGI,8,M8,Kayışdağı,7,True,M-M08-S-H-I-07,40.98552090314198,29.137286259239595,Metro
MEVLANA,8,M8,Mevlana,8,True,M-M08-S-H-I-08,40.99236746200459,29.153558958239127,Metro
IMES,8,M8,İmes,9,True,M-M08-S-H-I-09,40.99995161943781,29.156059357475755,Metro
MODOKO-KEYAP,8,M8,Modoko-Keyap,10,True,M-M08-S-H-I-10,41.00761665286443,29.162182913381205,Metro
DUDULLU,8,M8,Dudullu,11,True,M-M08-S-H-I-11,41.01556997960766,29.162499998040506,Metro
HUZUR,8,M8,Huzur,12,True,M-M08-S-H-I-12,41.022498790602256,29.15945298159044,Metro
CIBALI,14,T5,Cibali,3,,M-T05-S-H-I-03,41.024336,28.960265,Tramway
FENER,14,T5,Fener,4,,M-T05-S-H-I-04,41.028663,28.954462,Tramway
BALAT,14,T5,Balat,5,,M-T05-S-H-I-05,41.034098,28.948012,Tramway
AYVANSARAY,14,T5,Ayvansaray,6,,M-T05-S-H-I-06,41.039607,28.943916,Tramway
FESHANE,14,T5,Feshane,7,,M-T05-S-H-I-07,41.045456,28.937978,Tramway
EYUPSULTAN TELEFERIK,14,T5,Eyüpsultan Teleferik,8,,M-T05-S-H-I-08,41.050482,28.935202,Tramway
EYUPSULTAN DEVLET HASTANESI,14,T5,Eyüpsultan Devlet Hastanesi,9,,M-T05-S-H-I-09,41.056765,28.941212,Tramway
SILAHTARAGA MAHALLESI,14,T5,Silahtarağa Mahallesi,10,,M-T05-S-H-I-10,41.064775,28.942874,Tramway
UNIVERSITE,14,T5,Üniversite,11,,M-T05-S-H-I-11,41.069833,28.942865,Tramway
ALIBEYKOY MERKEZ,14,T5,Alibeyköy Merkez,12,,M-T05-S-H-I-12,41.07381,28.946063,Tramway
