STATION_CODE,STATION_NAME,DISTRICT,DIRECTION,STOP_TYPE,LATITUDE,LONGITUDE
106922,MİRAÇ CAMİİ,Gaziosmanpasa,KÜÇÜKKÖY,İETTBAYRAK,41.0842359886355,28.8943209662635
112511,DALYAN,Sariyer,R.KAVAGI,CCMODERNDR,41.172273001411,29.0644319688328
127182,MİLLET CADDESİ  ,Beylikdüzü,GÜRPINAR-SITELER,CCMODERN,40.9913860005516,28.6056759999683
210242,VAKIF,Atasehir,TAÇ SPOR,CCMODERNDR,40.9859040005516,29.1251679999919
112213,BALTALİMANI,Sariyer,4.LEVENT,CCMODERN,41.0967850052003,29.0522139694472
203272,KUM FABRİKASI,Sile,SILE,AÇIK DURAK,41.1862329563871,29.3524849580371
179681,ÇANTAKÖY GİRİŞ,Silivri,TÜYAP,İETTBAYRAK,41.0756060198228,28.0835260024957
111602,TURGUT ÖZAL CADDESİ,Arnavutköy,TOKI,İETTBAYRAK,41.1553100005781,28.6136149999684
119872,HAMİDİYE MAHALLESİ,Kagithane,CENDERE YOLU-39-Ç,AÇIK DURAK,41.0951559967463,28.977314961903
127031,KIRAÇ CAMİİ,Esenyurt,AVCILAR,İETTCAMLI,41.0380520005592,28.6476369999723
116072,AŞAĞI CAMİİ,Sariyer,ISTINYE D.IÇI,CCMODERNDR,41.1277929637373,29.0345799967731
110892,29 MAYIS CADDESİ,Basaksehir,KAYASEHIR,İETTBAYRAK,41.1245690005735,28.75497199998
124271,GÖKTEPE,Basaksehir,BAYRAMTEPE,DİĞER,41.0698990005644,28.7524959999796
224871,GÖZTEPE PARK,Kadiköy,GÖZTEPE ISTASYON,WALLMODERN,40.9675790005487,29.0571069999908
115541,BAHÇELER,Sariyer,SARIYER,CCMODERNDR,41.1772320119633,29.04228401405
171231,A.KÖY DEVLET HAST.,Arnavutköy,YENIKÖY,CCMODERN,41.1783940005819,28.7472369999789
214521,OTOBAN GİRİŞİ,Sancaktepe,KARTAL 132S,CCMODERN,40.9720110005495,29.2193609999932
109722,ET KOMBİNASI,Arnavutköy,HADIMKÖY,İETTBAYRAK,41.1563730005782,28.6333909999704
179811,ALTINTEPE MEVKİİ,Silivri,BÜYÜK ÇAVUSLU,İETTBAYRAK,41.0970899712274,28.1101600375185
208852,TOKİ KONUTLARI,Pendik,YENISEHIR,İETTBAYRAK,40.9081150005394,29.2787659999939
226893,ÇİÇEK KENT,Atasehir,BOSTANCI 10,WALLMODERN,40.9866480005517,29.1228679999919
112231,ÇINARALTI,Sariyer,BESIKTAS,WALLMODERN,41.1043899748339,29.0564340480563
202592,KARABEYLİ SAPAĞI,Sile,AGVA,AÇIK DURAK,41.0945600005692,29.7344939999977
109782,MALATYALILAR,Arnavutköy,TERKOS,İETTBAYRAK,41.2633960005958,28.6762489999738
262471,TAHİR EKŞİOĞLU KARDEŞLER CAMİİ,Pendik,SULTANBEYLI,İETTBAYRAK,40.9358920088371,29.3208919890865
263052,AKYILDIZ CADDESİ,Sancaktepe,SAMANDIRA,İETTCAMLI,41.0024700184524,29.2583299513107
261761,ILGIN SOKAK,Kartal,KARTAL,İETTBAYRAK,40.9099300348123,29.2195300477355
210341,PENDİK DEVLET HASTANESİ,Pendik,KADIKÖY,CCMODERN,40.8774660005344,29.2276529999934
123861,KAZIM KARABEKİR MAHALLESİ,Esenler,AKSARAY 1,CCMODERN,41.0482140005613,28.8755489999859
101131,İNCEĞİZ,Çatalca,Y.BOSNA METRO,İETTCAMLI,41.1871660470928,28.4037933825693
407151,SULTANBEYLİ PERONLAR,Pendik,PERON ALANI,CCMODERN,40.9385210237827,29.2969759635226
200731,SENEM SOKAK,Çekmeköy,SAHINBEY,İETTBAYRAK,41.0242110005578,29.1835019999926
217522,REVANİ SOKAK,Sultanbeyli,ÜMRANIYE,İETTCAMLI,40.9858730005517,29.2642229999936
215711,KİRAZLIYAYLA,Beykoz,BEYKOZ,İETTMODERN,41.125099000574,29.1362899999917
